Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992-AZ,1.555,2.226,3.125,0.429,1.485,0.217,1.742,3.617,0.433,0.716,0.103,3.630
1993-AZ,5.783,3.487,1.187,0.023,0.447,0.103,0.472,3.135,0.364,1.153,1.748,0.299
1994-AZ,0.215,1.373,1.311,0.505,0.550,0.215,1.022,1.715,1.483,0.833,1.441,2.563
1995-AZ,2.600,1.641,1.426,0.572,0.298,0.094,0.573,2.202,1.340,0.106,0.612,0.243
1996-AZ,0.163,1.196,0.384,0.051,0.058,0.285,1.966,1.693,1.858,0.684,0.651,0.132
1997-AZ,1.973,1.026,0.144,0.632,0.370,0.182,0.721,2.273,2.142,0.597,0.577,2.270
1998-AZ,0.566,3.552,2.037,0.591,0.205,0.078,2.470,1.954,1.373,0.896,0.924,0.432
1999-AZ,0.113,0.380,0.232,1.409,0.080,0.337,3.604,2.525,1.929,0.005,0.002,0.017
2000-AZ,0.194,0.549,1.673,0.081,0.010,0.894,0.563,2.734,0.172,3.958,0.976,0.084
2001-AZ,1.879,1.059,1.088,1.053,0.354,0.270,1.571,2.165,0.423,0.486,0.281,0.827
2002-AZ,0.176,0.122,0.210,0.142,0.003,0.005,1.472,0.970,1.706,0.637,0.626,0.853
2003-AZ,0.366,2.816,1.117,0.266,0.095,0.042,1.393,1.962,1.121,0.337,1.183,0.518
2004-AZ,0.782,1.103,0.942,1.390,0.008,0.067,1.274,1.508,1.510,1.959,1.714,1.853
2005-AZ,3.006,3.672,0.820,0.560,0.211,0.150,1.220,2.589,0.427,0.860,0.057,0.041
2006-AZ,0.093,0.043,1.342,0.196,0.050,0.383,2.676,2.207,1.597,1.017,0.037,0.329
2007-AZ,0.926,0.567,0.915,0.212,0.182,0.134,2.516,1.866,1.002,0.133,0.709,2.414
2008-AZ,2.117,1.129,0.083,0.011,0.669,0.150,2.658,2.606,0.716,0.224,0.969,1.986
2009-AZ,0.519,1.134,0.153,0.331,0.625,0.338,1.275,0.791,0.763,0.124,0.148,1.209
2010-AZ,3.890,1.569,1.093,0.240,0.030,0.074,2.090,1.932,0.614,1.258,0.159,1.658
2011-AZ,0.027,1.071,0.268,0.397,0.196,0.025,1.865,1.422,1.205,0.533,0.967,1.853
2012-AZ,0.228,0.390,0.731,0.301,0.072,0.084,2.669,2.328,1.229,0.196,0.213,1.567
2013-AZ,1.402,0.577,0.615,0.156,0.037,0.034,2.730,2.343,1.797,0.158,1.977,0.487
2014-AZ,0.022,0.115,0.959,0.185,0.034,0.010,2.100,3.560,2.790,0.744,0.110,1.563
2015-AZ,1.940,0.492,1.176,0.419,0.842,0.716,1.875,1.927,1.608,1.818,0.735,0.624
2016-AZ,1.624,0.277,0.101,0.742,0.428,0.503,1.446,2.653,1.483,0.328,0.914,2.258
2017-AZ,2.115,1.347,0.324,0.108,0.318,0.071,3.180,1.470,0.537,0.036,0.029,0.190
2018-AZ,0.543,1.258,0.335,0.023,0.117,0.403,2.768,2.187,0.938,2.888,0.281,0.736
2019-AZ,1.602,2.901,1.179,0.275,0.695,0.032,0.894,1.056,2.140,0.017,3.389,1.835
2020-AZ,0.430,1.219,2.656,0.287,0.081,0.059,0.746,0.736,0.118,0.097,0.223,0.330
1948-ME,2.790,1.469,2.835,2.806,6.680,2.813,2.745,1.808,1.060,3.622,6.258,3.668
1949-ME,3.750,2.683,2.354,2.922,3.264,2.577,2.485,2.133,4.352,2.353,4.788,2.144
1950-ME,4.373,2.733,3.751,3.454,0.904,4.392,2.474,4.526,1.520,2.491,8.633,5.717
1951-ME,3.235,4.562,4.228,5.735,3.289,2.308,6.419,4.080,2.850,3.831,6.792,5.158
1952-ME,4.698,4.686,2.212,2.863,3.968,4.563,1.092,3.121,3.077,3.276,2.275,4.923
1953-ME,4.534,3.664,8.306,4.729,3.160,2.296,3.786,3.139,3.086,4.559,4.211,4.625
1954-ME,3.551,4.406,3.716,4.354,5.719,5.409,3.720,5.400,8.484,4.723,4.417,5.734
1955-ME,1.780,5.633,4.566,2.163,2.961,3.002,2.158,4.703,1.886,3.037,3.801,1.219
1956-ME,5.192,2.909,4.129,3.507,3.231,2.476,3.810,2.784,3.698,3.044,3.290,3.506
1957-ME,2.322,1.666,2.137,2.635,2.651,3.016,3.445,1.964,2.441,2.020,5.513,5.594
1958-ME,7.564,3.051,2.926,4.732,3.202,2.968,5.369,3.953,3.103,5.129,4.269,1.748
1959-ME,3.757,2.541,4.268,2.535,1.254,6.490,2.721,4.134,2.798,6.598,6.994,4.153
1960-ME,3.645,6.157,2.504,3.403,4.957,3.397,3.973,1.566,3.934,3.992,3.676,4.671
1961-ME,2.221,3.301,2.907,4.977,5.267,3.402,3.501,2.178,4.128,3.021,5.039,3.706
1962-ME,2.924,2.107,1.608,4.551,2.232,2.542,4.493,3.909,3.759,5.465,5.690,5.087
1963-ME,3.204,3.325,3.044,2.558,3.714,1.364,3.295,5.208,3.090,3.244,9.251,1.998
1964-ME,4.001,1.754,3.106,3.228,2.069,2.098,3.955,3.513,1.751,3.378,3.396,4.253
1965-ME,1.725,4.075,0.573,2.644,1.585,1.914,1.948,3.416,2.813,3.914,4.976,2.145
1966-ME,3.722,2.596,3.540,0.900,2.550,2.989,3.282,2.966,3.782,3.796,5.774,3.113
1967-ME,2.167,3.199,1.403,2.431,4.813,4.394,3.623,3.628,5.311,2.423,3.501,5.478
1968-ME,2.876,1.752,3.690,2.933,3.358,4.024,1.625,2.011,1.950,3.106,6.240,5.893
1969-ME,3.264,4.824,2.767,3.264,2.857,3.184,4.995,3.289,5.193,1.776,7.354,8.834
1970-ME,0.726,5.374,2.985,4.104,3.792,3.272,2.401,4.049,3.197,4.704,2.881,4.376
1971-ME,2.261,4.911,3.459,1.931,3.772,2.086,3.706,3.833,3.153,3.001,3.456,2.799
1972-ME,2.273,4.168,6.536,2.604,3.046,6.025,3.922,2.415,4.488,4.113,5.312,5.917
1973-ME,3.683,3.378,3.152,6.358,5.488,4.457,3.996,4.540,3.715,3.642,3.333,9.469
1974-ME,3.017,2.653,4.070,4.775,4.981,3.925,3.821,2.680,4.684,1.563,4.406,3.174
1975-ME,3.717,1.901,3.721,2.746,1.893,4.604,3.491,2.453,4.354,4.191,5.395,5.717
1976-ME,4.789,3.886,2.767,3.919,4.930,2.911,6.603,5.202,2.500,5.904,2.059,4.289
1977-ME,3.585,3.048,5.018,2.938,1.830,6.673,2.171,4.265,5.776,7.187,3.538,6.111
1978-ME,7.324,1.159,3.224,3.271,2.799,3.889,1.992,1.872,1.794,4.093,2.044,2.977
1979-ME,8.971,2.618,4.802,5.210,6.564,1.615,3.175,5.152,3.358,5.508,4.095,2.703
1980-ME,1.240,1.037,4.217,4.879,1.447,2.831,4.884,2.478,4.569,4.135,4.530,2.158
